,date,county,state,cases,deaths
0,January,Autauga,Alabama,18961,230
1,January,Baldwin,Alabama,67496,719
2,January,Barbour,Alabama,7027,111
3,January,Bibb,Alabama,7692,108
4,January,Blount,Alabama,17731,260
5,January,Bullock,Alabama,2886,54
6,January,Butler,Alabama,6185,130
7,January,Calhoun,Alabama,39458,665
8,January,Chambers,Alabama,10311,174
9,January,Cherokee,Alabama,6456,133
10,January,Chilton,Alabama,12596,223
11,January,Choctaw,Alabama,2204,63
12,January,Clarke,Alabama,8184,113
13,January,Clay,Alabama,4941,90
14,January,Cleburne,Alabama,4222,74
15,January,Coffee,Alabama,16328,243
16,January,Colbert,Alabama,20165,275
17,January,Conecuh,Alabama,3410,75
18,January,Coosa,Alabama,3643,62
19,January,Covington,Alabama,11250,266
20,January,Crenshaw,Alabama,4516,108
21,January,Cullman,Alabama,30119,391
22,January,Dale,Alabama,15789,245
23,January,Dallas,Alabama,10357,256
24,January,DeKalb,Alabama,21738,350
25,January,Elmore,Alabama,28545,360
26,January,Escambia,Alabama,11863,191
27,January,Etowah,Alabama,33129,686
28,January,Fayette,Alabama,5694,99
29,January,Franklin,Alabama,11566,149
30,January,Geneva,Alabama,7591,171
31,January,Greene,Alabama,2194,53
32,January,Hale,Alabama,5523,110
33,January,Henry,Alabama,5574,79
34,January,Houston,Alabama,31004,526
35,January,Jackson,Alabama,17525,276
36,January,Jefferson,Alabama,225876,2485
37,January,Lamar,Alabama,4572,94
38,January,Lauderdale,Alabama,29121,414
39,January,Lawrence,Alabama,9102,185
40,January,Lee,Alabama,45351,397
41,January,Limestone,Alabama,30685,311
42,January,Lowndes,Alabama,3148,82
43,January,Macon,Alabama,4941,90
44,January,Madison,Alabama,111206,1046
45,January,Marengo,Alabama,5895,115
46,January,Marion,Alabama,9689,156
47,January,Marshall,Alabama,31626,406
48,January,Mobile,Alabama,130646,1762
49,January,Monroe,Alabama,6355,104
50,January,Montgomery,Alabama,69442,1001
51,January,Morgan,Alabama,44434,544
52,January,Perry,Alabama,2563,50
53,January,Pickens,Alabama,6122,118
54,January,Pike,Alabama,8902,141
55,January,Randolph,Alabama,6161,133
56,January,Russell,Alabama,12377,253
57,January,Shelby,Alabama,73695,476
58,January,St. Clair,Alabama,31345,439
59,January,Sumter,Alabama,3024,58
60,January,Talladega,Alabama,27380,401
61,January,Tallapoosa,Alabama,13948,251
62,January,Tuscaloosa,Alabama,67772,837
63,January,Unknown,Alabama,4703,0
64,January,Walker,Alabama,22885,476
65,January,Washington,Alabama,4252,69
