date,state,fips,cases,deaths
January,Washington,53,1,0
January,Washington,53,1,0
January,Washington,53,1,0
January,Illinois,17,1,0
January,Washington,53,1,0
January,California,6,1,0
January,Illinois,17,1,0
January,Washington,53,1,0
January,Arizona,4,1,0
January,California,6,2,0
January,Illinois,17,1,0
January,Washington,53,1,0
January,Arizona,4,1,0
January,California,6,2,0
January,Illinois,17,1,0
January,Washington,53,1,0
January,Arizona,4,1,0
January,California,6,2,0
January,Illinois,17,1,0
January,Washington,53,1,0
January,Arizona,4,1,0
January,California,6,2,0
January,Illinois,17,1,0
January,Washington,53,1,0
January,Arizona,4,1,0
January,California,6,2,0
January,Illinois,17,2,0
January,Washington,53,1,0
January,Arizona,4,1,0
January,California,6,3,0
January,Illinois,17,2,0
January,Washington,53,1,0
February,Arizona,4,1,0
February,California,6,3,0
February,Illinois,17,2,0
February,Massachusetts,25,1,0
February,Washington,53,1,0
February,Arizona,4,1,0
February,California,6,6,0
February,Illinois,17,2,0
February,Massachusetts,25,1,0
February,Washington,53,1,0
February,Arizona,4,1,0
February,California,6,6,0
February,Illinois,17,2,0
February,Massachusetts,25,1,0
February,Washington,53,1,0
February,Arizona,4,1,0
February,California,6,6,0
February,Illinois,17,2,0
February,Massachusetts,25,1,0
February,Washington,53,1,0
February,Arizona,4,1,0
February,California,6,6,0
February,Illinois,17,2,0
February,Massachusetts,25,1,0
February,Washington,53,1,0
February,Wisconsin,55,1,0
February,Arizona,4,1,0
February,California,6,6,0
February,Illinois,17,2,0
February,Massachusetts,25,1,0
February,Washington,53,1,0
February,Wisconsin,55,1,0
February,Arizona,4,1,0
February,California,6,6,0
February,Illinois,17,2,0
February,Massachusetts,25,1,0
February,Washington,53,1,0
February,Wisconsin,55,1,0
February,Arizona,4,1,0
February,California,6,6,0
February,Illinois,17,2,0
February,Massachusetts,25,1,0
February,Washington,53,1,0
February,Wisconsin,55,1,0
February,Arizona,4,1,0
February,California,6,6,0
February,Illinois,17,2,0
February,Massachusetts,25,1,0
February,Washington,53,1,0
February,Wisconsin,55,1,0
February,Arizona,4,1,0
February,California,6,7,0
February,Illinois,17,2,0
February,Massachusetts,25,1,0
February,Washington,53,1,0
February,Wisconsin,55,1,0
February,Arizona,4,1,0
February,California,6,7,0
February,Illinois,17,2,0
February,Massachusetts,25,1,0
February,Washington,53,1,0
February,Wisconsin,55,1,0
February,Arizona,4,1,0
February,California,6,7,0
February,Illinois,17,2,0
February,Massachusetts,25,1,0
February,Texas,48,1,0
February,Washington,53,1,0
February,Wisconsin,55,1,0
February,Arizona,4,1,0
February,California,6,7,0
February,Illinois,17,2,0
February,Massachusetts,25,1,0
February,Texas,48,2,0
February,Washington,53,1,0
February,Wisconsin,55,1,0
February,Arizona,4,1,0
February,California,6,7,0
February,Illinois,17,2,0
February,Massachusetts,25,1,0
February,Texas,48,2,0
February,Washington,53,1,0
February,Wisconsin,55,1,0
February,Arizona,4,1,0
February,California,6,7,0
February,Illinois,17,2,0
February,Massachusetts,25,1,0
February,Texas,48,2,0
February,Washington,53,1,0
February,Wisconsin,55,1,0
February,Arizona,4,1,0
February,California,6,7,0
February,Illinois,17,2,0
February,Massachusetts,25,1,0
February,Texas,48,2,0
February,Washington,53,1,0
February,Wisconsin,55,1,0
February,Arizona,4,1,0
February,California,6,7,0
February,Illinois,17,2,0
February,Massachusetts,25,1,0
February,Nebraska,31,10,0
February,Texas,48,2,0
February,Washington,53,1,0
February,Wisconsin,55,1,0
February,Arizona,4,1,0
February,California,6,7,0
February,Illinois,17,2,0
February,Massachusetts,25,1,0
February,Nebraska,31,10,0
February,Texas,48,2,0
February,Washington,53,1,0
February,Wisconsin,55,1,0
February,Arizona,4,1,0
February,California,6,7,0
February,Illinois,17,2,0
February,Massachusetts,25,1,0
February,Nebraska,31,10,0
February,Texas,48,2,0
February,Washington,53,1,0
February,Wisconsin,55,1,0
February,Arizona,4,1,0
February,California,6,8,0
February,Illinois,17,2,0
February,Massachusetts,25,1,0
February,Nebraska,31,11,0
February,Texas,48,2,0
February,Washington,53,1,0
February,Wisconsin,55,1,0
February,Arizona,4,1,0
February,California,6,9,0
February,Illinois,17,2,0
February,Massachusetts,25,1,0
February,Nebraska,31,11,0
February,Texas,48,4,0
February,Washington,53,1,0
February,Wisconsin,55,1,0
February,Arizona,4,1,0
February,California,6,9,0
February,Illinois,17,2,0
February,Massachusetts,25,1,0
February,Nebraska,31,11,0
February,Texas,48,4,0
February,Washington,53,1,0
February,Wisconsin,55,1,0
February,Arizona,4,1,0
February,California,6,9,0
February,Illinois,17,2,0
February,Massachusetts,25,1,0
February,Nebraska,31,11,0
February,Texas,48,4,0
February,Washington,53,1,0
February,Wisconsin,55,1,0
February,Arizona,4,1,0
February,California,6,11,0
February,Illinois,17,2,0
February,Massachusetts,25,1,0
February,Nebraska,31,12,0
February,Texas,48,10,0
February,Washington,53,5,0
February,Wisconsin,55,1,0
February,Arizona,4,1,0
February,California,6,11,0
February,Illinois,17,2,0
February,Massachusetts,25,1,0
February,Nebraska,31,13,0
February,Texas,48,10,0
February,Utah,49,1,0
February,Washington,53,5,0
February,Wisconsin,55,1,0
February,Arizona,4,1,0
February,California,6,26,0
February,Illinois,17,2,0
February,Massachusetts,25,1,0
February,Nebraska,31,13,0
February,Texas,48,10,0
February,Utah,49,1,0
February,Washington,53,5,0
February,Wisconsin,55,1,0
February,Arizona,4,1,0
February,California,6,26,0
February,Illinois,17,2,0
February,Massachusetts,25,1,0
February,Nebraska,31,13,0
February,Texas,48,10,0
February,Utah,49,1,0
February,Washington,53,5,0
February,Wisconsin,55,1,0
February,Arizona,4,1,0
February,California,6,27,0
February,Illinois,17,2,0
February,Massachusetts,25,1,0
February,Nebraska,31,13,0
February,Oregon,41,1,0
February,Texas,48,11,0
February,Utah,49,1,0
February,Washington,53,7,0
February,Wisconsin,55,1,0
February,Arizona,4,1,0
February,California,6,28,0
February,Illinois,17,3,0
February,Massachusetts,25,1,0
February,Nebraska,31,13,0
February,Oregon,41,1,0
February,Texas,48,11,0
February,Utah,49,1,0
February,Washington,53,10,1
February,Wisconsin,55,1,0
March,Arizona,4,1,0
March,California,6,33,0
March,Florida,12,2,0
